Title;Type;Issn
Acta Biologica Hungarica;journal;ISSN 02365383
Cellular Polymers;journal;ISSN 02624893
Mater Plast Elastomeri Fibre Sint;journal;ISSN 00255289
Journal Francais d'Ophtalmologie;journal;ISSN 01815512
Minerva Urologica e Nefrologica;journal;ISSN 03932249
Oriental Insects;journal;ISSN 00305316
Giornale di Chirurgia;journal;ISSN 03919005
Herz;journal;ISSN 16156692, 03409937
Atlas of the Oral and Maxillofacial Surgery Clinics of North America;journal;ISSN 10613315
Applications of Mathematics;journal;ISSN 08627940
Journal of Cytology;journal;ISSN 09709371, 09745165
Journal of Social Work in Disability and Rehabilitation;journal;ISSN 15367118, 1536710X
Revista Brasileira de Ginecologia e Obstetricia;journal;ISSN 01007203
Topics in Current Genetics;book serie;ISSN 16106970, 16102096
American Journal of Biochemistry and Biotechnology;journal;ISSN 15533468
Politikon: South African Journal of Political Studies;journal;ISSN 14701014, 02589346
Revista de Economia Politica/Brazilian Journal of Political Economy;journal;ISSN 01013157
Dao;journal;ISSN 15697274, 15403009
Disaster medicine and public health preparedness;journal;ISSN 1938744X, 19357893
Expert Review of Ophthalmology;journal;ISSN 17469899
Journal of Architecture;journal;ISSN 14664410, 13602365
Drewno;journal;ISSN 16443985
International Journal of Pharma and Bio Sciences;journal;ISSN 09756299
Law, Probability and Risk;journal;ISSN 1470840X, 14708396
Asian Journal of Atmospheric Environment;journal;ISSN 19766912, 22871160
Journal of Student Affairs Research and Practice;journal;ISSN 19496605
TPM - Testing, Psychometrics, Methodology in Applied Psychology;journal;ISSN 19726325
Proceedings of the 2013 2nd International Workshop on Optical Wireless Communications, IWOW 2013;conference and proceeding;-
Metron;journal;ISSN 00261424
Bullentin of Canadian Petroleum Geology;journal;ISSN 00074802
Der Nervenarzt;journal;ISSN 14330407, 00282804
Pneumologie;journal;ISSN 09348387, 14388790
Intelligent Automation and Soft Computing;journal;ISSN 10798587
Discrete Mathematics and Applications;journal;ISSN 09249265, 15693929
Acta Physica Polonica A;journal;ISSN 05874246
Issues in Comprehensive Pediatric Nursing;journal;ISSN 01460862
Journal of Agricultural Safety and Health;journal;ISSN 10747583
Proceedings - IEEE International Symposium on Circuits and Systems;conference and proceeding;ISSN 02714310, 2714310
Landbauforschung Volkenrode;journal;ISSN 04586859
Proceedings of the National Conference on Artificial Intelligence;conference and proceeding;-
Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics;journal;ISSN 16729897
International Journal of Business Innovation and Research;journal;ISSN 17510252
Journal of Biological Research;journal;ISSN 1790045X
Journal of Public Procurement;journal;ISSN 15350118
Revista Argentina de Clinica Psicologica;journal;ISSN 03276716
Journal of Financial Services Marketing;journal;ISSN 14791846, 13630539
Artificial Satellites;journal;ISSN 15093859, 0208841X
WMU Journal of Maritime Affairs;journal;ISSN 1651436X, 16541642
Interdisciplinary Journal of Information, Knowledge, and Management;journal;ISSN 15551229, 15551237
Revista Mexicana de Ingeniera Qumica;journal;ISSN 16652738
Indian Journal of Science and Technology;journal;ISSN 09746846, 09745645
Ensenanza de las Ciencias;journal;ISSN 02124521
Zoology and Ecology;journal;ISSN 21658005, 21658013
Proceedings of the 21st International Meshing Roundtable, IMR 2012;conference and proceeding;-
Proceedings of the 2nd ACM SIGPLAN International Workshop on State of the Art in Java Program Analysis, SOAP 2013;conference and proceeding;-
Research in the Sociology of Sport;book serie;ISSN 14762854
Health Care Analysis;journal;ISSN 10653058, 15733394
Powder Diffraction;journal;ISSN 08857156
Industria Textila;journal;ISSN 12225347
Journal of Neurotherapy;journal;ISSN 1530017X, 10874208
Schmerz;journal;ISSN 14322129, 0932433X
European Urology, Supplements;journal;ISSN 15699056
International Journal of Public Sector Management;journal;ISSN 09513558
Journal of Environmental Assessment Policy and Management;journal;ISSN 14643332
Journal of Homeland Security and Emergency Management;journal;ISSN 15477355
The Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA);journal;ISSN 14626446
Women and Criminal Justice;journal;ISSN 08974454
High Energy Chemistry;journal;ISSN 16083148, 00181439
Indian Economic and Social History Review;journal;ISSN 00194646
Clinical Nurse Specialist;journal;ISSN 08876274
MCN The American Journal of Maternal Child Nursing;journal;ISSN 0361929X
Chinese Medical Sciences Journal;journal;ISSN 10019294
Anadolu Kardiyoloji Dergisi;journal;ISSN 13028723
Archaologisches Korrespondenzblatt;journal;ISSN 0342734X
International Conference on Simulation of Semiconductor Processes and Devices, SISPAD;conference and proceeding;-
Journal of Mathematical Sciences;journal;ISSN 10723374
Fetal and Pediatric Pathology;journal;ISSN 15513823, 15513815
Acute Medicine;journal;ISSN 17474892, 17474884
Continuing Education in Anaesthesia, Critical Care and Pain;journal;ISSN 17431816, 17431824
Journal of Geometry;journal;ISSN 00472468, 14208997
International Journal of Pharmacology;journal;ISSN 18117775, 18125700
Journal of Economics and Finance;journal;ISSN 19389744, 10550925
Transport and Telecommunication;journal;ISSN 14076160
International Journal of Computational Biology and Drug Design;journal;ISSN 17560756, 17560764
Organised Sound;journal;ISSN 14698153, 13557718
Journal of Decision Systems;journal;ISSN 12460125
Boletim da Sociedade Paranaense de Matematica;journal;ISSN 00378712, 21751188
Basic and Clinical Neuroscience;journal;ISSN 2008126X
ITS 2012 - Proceedings of the ACM Conference on Interactive Tabletops and Surfaces;conference and proceeding;-
Economics and Policy of Energy and the Environment;journal;ISSN 22807659, 22807667
IEEE International Conference on Cloud Computing, CLOUD;conference and proceeding;ISSN 21596182
Journal of Low Power Electronics and Applications;journal;ISSN 20799268
Journal of Social Service Research;journal;ISSN 15407314, 01488376
Nagoya Journal of Medical Science;journal;ISSN 00277622
Zeitschrift für Klinische Psychologie und Psychotherapie;journal;ISSN 16163443
Acta Botanica Gallica;journal;ISSN 12538078
Advances in peritoneal dialysis. Conference on Peritoneal Dialysis;journal;ISSN 11978554
Journal of Mathematical Sociology;journal;ISSN 0022250X
Transactions of Famena;journal;ISSN 13331124
Canadian Journal of Administrative Sciences;journal;ISSN 08250383
Operative Techniques in Thoracic and Cardiovascular Surgery;journal;ISSN 15222942
Australian Feminist Studies;journal;ISSN 14653303, 08164649
Geograficky Casopis;journal;ISSN 00167193
Cailiao Rechuli Xuebao/Transactions of Materials and Heat Treatment;journal;ISSN 10096264
Magnetohydrodynamics;journal;ISSN 0024998X
Contemporary Political Theory;journal;ISSN 14769336, 14708914
South Asian Popular Culture;journal;ISSN 14746689, 14746697
Nano;journal;ISSN 17932920
Journal of Developmental Entrepreneurship;journal;ISSN 10849467
Traumatology;journal;ISSN 15347656
Chinese Journal of Oceanology and Limnology;journal;ISSN 02544059
WSEAS Transactions on Systems and Control;journal;ISSN 19918763
Counselling and Psychotherapy Research;journal;ISSN 14733145
International Journal of Mobile and Blended Learning;journal;ISSN 19418647
Health Policy and Technology;journal;ISSN 22118837
Cuaternario y Geomorfologia;journal;ISSN 02141744
Journal of Applied Geodesy;journal;ISSN 18629024, 18629016
AllThingsCellular 2014 - Proceedings of the 4th ACM Workshop on All Things Cellular: Operations, Applications, and Challenges;conference and proceeding;-
13th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2014;conference and proceeding;-
2014 11th Annual IEEE International Conference on Sensing, Communication, and Networking Workshops, SECON Workshops 2014;conference and proceeding;-
Journal of Computer and Systems Sciences International;journal;ISSN 10642307
Puerto Rico health sciences journal;journal;ISSN 07380658
Journal of Plant Pathology;journal;ISSN 11254653
Consultant Pharmacist;journal;ISSN 08885109
Journal of Freshwater Ecology;journal;ISSN 02705060
Emergence: Complexity and Organization;journal;ISSN 15213250
Current Pediatric Reviews;journal;ISSN 15733963
Soil and Water Research;journal;ISSN 18015395
Journal of Social Structure;journal;ISSN 15291227
Prague Economic Papers;journal;ISSN 12100455
Iranian Journal of Reproductive Medicine;journal;ISSN 16806433
Pharmacognosy Journal;journal;ISSN 09753575
Journal of Neurosciences in Rural Practice;journal;ISSN 09763155, 09763147
Journal of Combustion;journal;ISSN 20901976, 20901968
Journal of Music Teacher Education;journal;ISSN 10570837, 19450079
Self-IoT'12 - Proceedings of the 2012 International Workshop on Self-Aware Internet of Things, Co-located with ICAC'12;conference and proceeding;-
IEEE Symposium on Computational Intelligence Applications in Smart Grid, CIASG;conference and proceeding;ISSN 23267682
RecSys 2014 - Proceedings of the 8th ACM Conference on Recommender Systems;conference and proceeding;-
Journal of Economic and Social Measurement;journal;ISSN 07479662
Spectroscopy Letters;journal;ISSN 15322289, 00387010
Gaoya Dianqi/High Voltage Apparatus;journal;ISSN 10011609
New Zealand Medical Journal;journal;ISSN 00288446
American Fern Journal;journal;ISSN 00028444
Petroleum Chemistry;journal;ISSN 09655441
Revista Espanola de Salud Publica;journal;ISSN 11355727
Cryo-Letters;journal;ISSN 01432044
Chinese Journal of Electronics;journal;ISSN 10224653
Proceedings - Graphics Interface;conference and proceeding;ISSN 7135424, 07135424
Chinese Journal of Chemical Physics;journal;ISSN 16740068, 10037713
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering;journal;ISSN 03321649
Palestine Exploration Quarterly;journal;ISSN 00310328, 17431301
Naturschutz und Landschaftsplanung;journal;ISSN 09406808
Heroin Addiction and Related Clinical Problems;journal;ISSN 15921638
Forschende Komplementarmedizin (2006);journal;ISSN 16614119, 16614127
Journal of Sexual Aggression;journal;ISSN 13552600, 17426545
Nordic Journal of Music Therapy;journal;ISSN 08098131
Journal of Oral Biosciences;journal;ISSN 18803865, 13490079
European Journal of Integrative Medicine;journal;ISSN 18763820
African Journal of Paediatric Surgery;journal;ISSN 09745998, 01896725
Lahivordlusi/Lahivertailuja;book serie;ISSN 17369290, 22283854
2012 International Conference on Software and System Process, ICSSP 2012 - Proceedings;conference and proceeding;-
Geotectonica et Metallogenia;journal;ISSN 10011552
Proceedings of the 2nd International Workshop on Quality Assurance for Service-Based Applications, QASBA 2013 - In Conjunction with ISSTA 2013;conference and proceeding;-
Proceedings of the 2013 IEEE International Electric Machines and Drives Conference, IEMDC 2013;conference and proceeding;-
ICN 2013 - Proceedings of the 3rd, 2013 ACM SIGCOMM Workshop on Information-Centric Networking;conference and proceeding;-
2013 10th Annual Conference on Wireless On-Demand Network Systems and Services, WONS 2013;conference and proceeding;-
Proceedings of the 2013 IEEE Symposium on Computational Intelligence in Production and Logistics Systems, CIPLS 2013 - 2013 IEEE Symposium Series on Computational Intelligence, SSCI 2013;conference and proceeding;-
Computing in Civil Engineering - Proceedings of the 2013 ASCE International Workshop on Computing in Civil Engineering;conference and proceeding;-
8th Conference of the European Society for Fuzzy Logic and Technology, EUSFLAT 2013 - Advances in Intelligent Systems Research;conference and proceeding;-
Journal of Information Science and Engineering;journal;ISSN 10162364
Folia Biologica;journal;ISSN 00155497
Acta Biologica Cracoviensia Series Botanica;journal;ISSN 00015296
Labor History;journal;ISSN 14699702, 0023656X
Acta Chirurgiae Plasticae;journal;ISSN 00015423
Journal of the Serbian Chemical Society;journal;ISSN 03525139
National Institute Economic Review;journal;ISSN 00279501, 17413036
Ringing and Migration;journal;ISSN 03078698
Journal of Analytical Chemistry;journal;ISSN 10619348, 16083199
Revista brasileira de enfermagem;journal;ISSN 00347167
Arctic Anthropology;journal;ISSN 00666939
Proceedings of the Prehistoric Society;conference and proceeding;ISSN 0079497X
Cahiers/Agricultures;journal;ISSN 17775949, 11667699
Journal for Specialists in Group Work;journal;ISSN 01933922
Sign Language Studies;journal;ISSN 15336263, 03021475
Tropical Journal of Pharmaceutical Research;journal;ISSN 15965996
International Journal of Clinical Rheumatology;journal;ISSN 17584272, 17584280
Journal of Animal and Plant Sciences;journal;ISSN 10187081
International Journal of Materials and Structural Integrity;journal;ISSN 17450063, 17450055
Journal of investigative and clinical dentistry;journal;ISSN 20411626, 20411618
Research and Perspectives in Neurosciences;book serie;ISSN 09456082
Complex Systems;journal;ISSN 08912513
Bonn Zoological Bulletin;journal;ISSN 21907307
Journal of Reformed Theology;journal;ISSN 18725163, 15697312
2013 5th IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing, CAMSAP 2013;conference and proceeding;-
PEPM 2014 - Proceedings of the ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation, Co-located with POPL 2014;conference and proceeding;-
Center for Educational Policy Studies Journal;journal;ISSN 18559719, 22322647
Journal of Information Security and Applications;conference and proceeding;ISSN 22142134, 22142126
Iranian Journal of Medical Sciences;journal;ISSN 02530716
Applied Biochemistry and Microbiology;journal;ISSN 00036838, 16083024
International Journal of Web Services Research;journal;ISSN 15465004, 15457362
Grundwasser;journal;ISSN 1430483X, 14321165
Counseling and Values;journal;ISSN 01607960
